Name,Age,Nationality,Club,Preferred Foot,Crossing,Dribbling,LongPassing,ShotPower
R. Miyaichi,25,Japan,FC St. Pauli,Right,64,71,48,63
L. Burnet,27,Netherlands,Excelsior,Left,68,64,58,42
C. Bickel,27,Germany,FSV Zwickau,Right,68,67,60,62
J. McCarthy,25,United States,Philadelphia Union,Right,17,12,16,22
T. Dekker,20,Netherlands,VVV-Venlo,Right,63,53,58,35
S. Niakaté,18,France,Valenciennes FC,Left,33,31,46,36
D. Marcandella,21,Italy,Padova,Right,65,66,62,61
Park Won Jae,34,Korea Republic,Jeonbuk Hyundai Motors,Left,59,45,53,47
N. Ioannidis,24,Greece,Clube Sport Marítimo,Right,57,66,47,73
A. Barylla,21,Germany,FSV Zwickau,Right,59,59,57,25
J. González,26,Paraguay,Defensa y Justicia,Right,32,36,31,49
G. Treand,32,France,Neuchâtel Xamax,Right,57,62,60,66
E. Markkanen,26,Finland,Dalkurd FF,Left,38,55,49,70
A. McCormack,34,Republic of Ireland,Luton Town,Right,54,52,65,69
M. Firenze,25,Italy,Crotone,Right,30,67,61,59
I. Maela,25,South Africa,Orlando Pirates,Left,66,66,26,55
L. Romo,23,Mexico,Querétaro,Right,27,34,35,44
Peng Xinli,26,China PR,Chongqing Dangdai Lifan FC SWM Team,Left,55,66,62,57
J. Zwischenbrugger,28,Austria,SCR Altach,Right,46,48,49,56
R. Taylor,23,Finland,Tromsø IL,Right,59,70,62,75
O. Clarke,26,England,Bristol Rovers,Right,54,64,63,72
C. Cropper,25,United States,New England Revolution,Right,11,11,17,17
B. Garuccio,23,Australia,Heart of Midlothian,Left,65,68,66,54
M. Fofana,20,Mali,FC Metz,Right,34,56,51,40
F. Beltrán,20,Mexico,Guadalajara,Right,53,65,66,62
J. Carranza,18,Argentina,Club Atlético Banfield,Right,44,63,40,61
J. Arias,23,Curacao,FC Emmen,Right,31,62,32,72
D. Bergqvist,25,Sweden,Östersunds FK,Right,39,53,64,50
J. Clarke-Harris,23,England,Coventry City,Left,44,61,29,79
Juan Cámara,24,Spain,Miedź Legnica,Left,67,66,69,61
H. Da Campo,23,Argentina,San Martín de San Juan,Right,64,63,53,62
R. Scheu,23,Germany,SC Fortuna Köln,Right,59,59,55,54
G. Bigirimana,24,England,Motherwell,Right,58,63,67,53
E. Hajri,35,Tunisia,MSV Duisburg,Right,61,62,60,57
M. Langer,33,Austria,FC Schalke 04,Right,13,11,25,15
G. Allison,27,Mexico,Cruz Azul,Right,18,15,29,14
S. Walker,26,England,Reading,Right,17,19,26,14
L. Olum,33,Kenya,Portland Timbers,Right,47,48,62,55
C. Giraldo,38,Colombia,Deportivo Pasto,Right,48,53,58,65
G. Cros,23,France,FC Carl Zeiss Jena,Left,57,58,34,47
Heo Yong Joon,25,Korea Republic,Jeonnam Dragons,Right,65,67,58,65
A. Ouahim,20,Morocco,VfL Osnabrück,Right,58,71,56,61
K. Walker,28,Sweden,Djurgårdens IF,Right,61,61,62,64
J. Benet,23,France,Grenoble Foot 38,Right,60,61,67,66
L. Villarruel,27,Argentina,Defensa y Justicia,Right,50,65,66,49
T. Hadebe,22,Zimbabwe,Kaizer Chiefs,Left,33,35,35,41
Patrick,24,Cape Verde,CD Tondela,Right,36,58,51,68
C. Diedhiou,30,Senegal,Royal Excel Mouscron,Right,25,35,32,34
L. Pérez,28,Italy,Cosenza,Right,56,61,47,70
Sidnei Dalmeira,30,Brazil,Sport Club do Recife,Right,29,49,47,48
Alfred,22,Spain,CF Reus Deportiu,Right,64,69,64,66
Álvaro Bustos,23,Spain,CF Rayo Majadahonda,Left,66,64,62,62
I. Azzaoui,20,Belgium,VfL Wolfsburg,Right,59,74,43,56
Y. Marillat,23,France,AS Béziers,Right,11,16,40,29
Fidalgo,21,Spain,Real Madrid,Right,61,68,65,54
C. Togashi,24,Japan,FC Tokyo,Right,42,62,44,64
Roger Figueras,21,Spain,Gimnàstic de Tarragona,Right,48,59,59,58
Vítor Tormena,22,Brazil,Portimonense SC,Right,64,50,60,56
S. Matuszek,29,Poland,Górnik Zabrze,Right,32,52,59,59
E. Tønne,27,Norway,Ranheim Fotball,Left,67,63,58,56
B. Samba,24,France,Stade Malherbe Caen,Left,10,12,21,21
M. Aaquist,23,Denmark,Randers FC,Right,54,66,41,49
Rúben Lameiras,23,Portugal,Plymouth Argyle,Left,55,71,59,61
A. Hinestroza,29,Colombia,Jaguares de Córdoba,Right,40,47,68,46
J. Hingert,27,Australia,Brisbane Roar,Right,60,63,57,50
P. Drewes,25,Germany,FC Würzburger Kickers,Right,15,12,26,36
S. Peszko,33,Poland,Lechia Gdańsk,Right,64,63,64,62
D. Petković,25,Montenegro,FC Lorient,Right,13,8,26,23
Wang Xiaolong,32,China PR,Tianjin Quanjian FC,Left,66,64,52,67
E. Pezzi,28,Italy,Carpi,Right,55,56,47,43
O. Hein,28,Germany, SSV Jahn Regensburg,Right,58,65,63,68
E. Serje,22,Colombia,Junior FC,Right,35,57,59,45
M. Biankadi,23,Congo,FC Hansa Rostock,Right,60,67,64,61
L. Miller,35,Scotland,Livingston FC,Right,58,60,56,68
J. Müller,28,Germany,SpVgg Unterhaching,Right,63,67,54,66
C. Alkılıç,30,Turkey,Alanyaspor,Right,62,65,46,71
M. Kleinsorge,22,Germany,SV Meppen,Right,65,65,39,64
M. Dávila,26,Chile,Unión Española,Left,66,61,64,71
K. Vincent-Young,22,England,Colchester United,Right,55,64,50,55
L. Rajot,20,France,Clermont Foot 63,Right,64,65,69,47
M. Amini,25,Australia,Aarhus GF,Right,52,66,65,69
J. Ring,26,Sweden,Djurgårdens IF,Left,60,68,46,64
C. Palomeque,24,Colombia,Alianza Petrolera,Left,61,70,55,66
T. Rehfeldt,24,Germany,VfR Aalen,Right,46,43,46,56
R. Gojani,25,Sweden,IF Elfsborg,Right,54,65,69,53
I. Traoré,29,Ivory Coast,SK Slavia Praha,Right,45,65,66,55
F. Sánchez,33,Chile,Unión La Calera,Right,62,66,33,23
S. Torrizales,26,Paraguay,,Right,59,68,65,65
J. Leiva,24,Chile,Audax Italiano,Left,55,61,59,62
T. Röttger,32,Germany,SG Sonnenhof Großaspach,Right,60,67,34,70
A. Duarte,24,Peru,Lobos BUAP,Right,14,13,24,18
K. Ceesay,30,Gambia,Dalkurd FF,Right,60,58,59,50
L. Königshofer,29,Austria,SpVgg Unterhaching,Right,15,13,18,23
L. Hoyos,29,Argentina,Vélez Sarsfield,Right,18,21,25,19
J. Murillo,25,Ecuador,Estudiantes de La Plata,Left,59,65,61,60
Luís Maximiano,19,Portugal,Sporting CP,Right,10,16,38,16
Han Peng,34,China PR,Beijing Renhe FC,Right,44,58,57,68
J. Derstroff,26,Germany, SSV Jahn Regensburg,Left,56,69,48,66
H. Bjørdal,21,Norway,SV Zulte-Waregem,Right,57,67,64,60
H. Skogseid,30,Norway,Stabæk Fotball,Right,65,55,51,68
A. Hadžiahmetović,21,Bosnia Herzegovina,Atiker Konyaspor,Right,42,70,68,72
J. Balkovec,23,Slovenia,Hellas Verona,Left,70,58,61,72
J. Jones,29,England,Wigan Athletic,Right,13,15,22,22
P. Sohm,26,Germany,Hallescher FC,Right,62,62,54,72
B. Figueroa,19,Mexico,U.N.A.M.,Right,66,68,61,58
M. Lorentzson,33,Sweden,Örebro SK,Right,60,55,54,47
S. Al Duayyi,25,Saudi Arabia,Al Fateh,Right,60,57,46,49
N. Mbemba,23,France,Stade de Reims,Right,55,69,64,61
J. Rhyner,22,Switzerland,Grasshopper Club Zürich,Right,36,25,42,46
K. Wrzesiński,24,Poland,Zagłębie Sosnowiec,Right,64,63,57,58
F. Porath,21,Germany,SpVgg Unterhaching,Right,53,66,67,60
T. Rodríguez,22,Argentina,Unión La Calera,Right,67,71,55,61
O. Mares,31,Mexico,Tiburones Rojos de Veracruz,Left,70,65,60,77
M. Connolly,26,Republic of Ireland,Crawley Town,Right,34,32,60,40
P. Twumasi,24,Ghana,Deportivo Alavés,Right,55,71,38,65
S. Al Sawadi,25,Saudi Arabia,Al Raed,Right,62,66,54,55
Lee Ki Je,26,Korea Republic,Suwon Samsung Bluewings,Left,65,62,60,63
T. Al Absi,25,Saudi Arabia,Al Taawoun,Right,31,39,37,38
D. Torres,25,Chile,CD Palestino,Left,66,67,65,60
Ding Haifeng,26,China PR,Guangzhou R&F; FC,Left,65,65,55,49
E. Pernía,23,Venezuela,Deportes Iquique,Right,35,65,41,68
L. Coyle,22,England,Fleetwood Town,Right,61,59,55,36
S. Silva,28,Sweden,AIK,Right,62,68,46,59
S. Gnaka,19,Ivory Coast,KAS Eupen,Left,59,65,65,42
Y. Bourhane,19,France,Chamois Niortais Football Club,Left,44,62,63,46
J. Stockley,24,England,Exeter City,Right,31,58,38,64
I. Vásquez,32,Chile,Audax Italiano,Right,58,54,71,62
M. De Iriondo,25,Argentina,Unión de Santa Fe,Right,51,59,56,71
M. Damsgaard,17,Denmark,FC Nordsjælland,Right,58,68,59,56
Kaká,27,Brazil,CD Nacional,Right,60,68,61,57
M. Blair,29,England,Doncaster Rovers,Right,58,63,54,60
J. Petriccione,23,Italy,Lecce,Right,63,64,72,57
J. Sambenito,26,Paraguay,,Right,57,65,53,63
C. Schoissengeyr,23,Austria,FK Austria Wien,Right,29,25,45,22
L. Perdomo,21,Argentina,Gimnasia y Esgrima La Plata,Right,46,55,61,47
M. Röser,27,Germany,Karlsruher SC,Right,66,62,57,71
S. Roux,25,New Zealand,Melbourne Victory,Right,64,61,54,42
Pol Valentín,21,Spain,Gimnàstic de Tarragona,Right,60,62,56,55
Óscar Valentín,23,Spain,CF Rayo Majadahonda,Right,51,58,63,68
H. Ruíz,31,Mexico,Tiburones Rojos de Veracruz,Right,60,59,64,64
Kim Min Woo,28,Korea Republic,Sangju Sangmu FC,Left,62,63,62,64
F. Kippe,40,Norway,Lillestrøm SK,Left,33,24,55,70
J. Řezníček,30,Czech Republic,Viktoria Plzeň,Right,52,62,55,61
A. Al Zaqan,27,Saudi Arabia,Al Ittihad,Right,57,68,55,64
G. Acampora,24,Italy,Spezia,Left,56,66,63,70
J. Alondro,30,Paraguay,,Left,57,42,47,34
L. Ferguson,18,Scotland,Aberdeen,Right,42,66,66,62
R. Augustyniak,24,Poland,Miedź Legnica,Right,51,57,58,42
A. Cannon,22,England,Rochdale,Right,60,67,61,58
C. Woods,31,England,Preston North End,Right,63,62,63,54
E. Sabbi,20,United States,Hobro IK,Right,41,69,34,55
D. McCrory,28,Republic of Ireland,Burton Albion,Left,69,52,63,54
T. Öztürk,28,Germany,KFC Uerdingen 05,Right,46,49,64,60
De Los Reyes,26,Spain,UD Almería,Left,69,62,45,56
O. García,25,Colombia,Jaguares de Córdoba,Right,49,70,43,65
A. Batsula,26,Ukraine,KV Kortrijk,Left,65,57,60,50
R. Kerschbaum,24,Austria,FC Wacker Innsbruck,Right,48,56,62,64
N. Bakker,25,Netherlands,FC Emmen,Left,51,52,59,42
Raphael Silva,26,Brazil,Boavista FC,Right,28,31,28,45
L. Berry,25,England,Luton Town,Right,57,63,62,55
Mauro Cerqueira,25,Portugal,CD Nacional,Left,63,65,58,60
S. Bidaoui,28,Morocco,Spezia,Right,55,72,55,62
Damià,22,Spain,RCD Espanyol,Right,45,59,65,49
H. Jele,31,South Africa,Orlando Pirates,Right,60,73,77,64
D. Jones,31,England,Notts County,Left,65,59,58,56
G. Poussin,19,France,FC Girondins de Bordeaux,Right,12,13,22,19
R. Edwards,24,England,Plymouth Argyle,Right,33,32,41,49
B. Finne,23,Norway,Vålerenga Fotball,Right,49,68,37,70
N. Varela,27,Uruguay,Wisła Płock,Right,67,70,55,44
R. Tarifeño,21,Chile,Audax Italiano,Right,51,65,57,68
Bruno Gomes,21,Brazil,CD Aves,Right,36,63,53,70
M. Dombrowka,26,Germany,SpVgg Unterhaching,Right,61,60,39,32
N. Mezquida,26,Uruguay,Vancouver Whitecaps FC,Right,59,68,55,67
M. Saadane,26,Morocco,Çaykur Rizespor,Right,54,54,67,61
M. Fink,28,Slovenia,Çaykur Rizespor,Right,67,62,62,36
B. Diaby,20,Spain,Sporting Lokeren,Right,67,62,51,30
C. Elder,23,Australia,Leicester City,Left,58,63,59,40
R. Ledson,20,England,Preston North End,Right,50,63,67,59
M. Udol,22,France,FC Metz,Left,57,61,53,34
A. Al Mutairi,32,Saudi Arabia,Al Fayha,Right,55,66,62,62
P. Tschernegg,25,Austria,FC St. Gallen,Right,51,54,59,48
J. Duque,27,Colombia,Boyacá Chicó FC,Left,64,65,59,35
A. Katranis,20,Greece,Royal Excel Mouscron,Left,65,64,52,58
Aloísio,20,Brazil,Clube Sport Marítimo,Right,48,57,57,57
Evandro,30,Brazil,FC Seoul,Right,45,68,38,69
G. Castillejos,32,Argentina,San Martín de San Juan,Right,45,61,47,64
B. Renneke,25,Germany,VfL Osnabrück,Right,66,66,61,62
K. van Veen,27,Netherlands,Northampton Town,Right,29,62,53,76
N. Garmendia,20,Spain,Udinese,Right,52,74,59,64
M. Birighitti,27,Australia,Melbourne City FC,Right,12,13,17,19
E. Alexander,30,United States,Houston Dynamo,Right,61,63,67,66
F. Palacios Martínez,23,Spain,1. FC Nürnberg,Right,52,74,43,63
Luis Ruiz,26,Spain,CD Lugo,Left,61,61,47,29
A. Hunter,22,England,Fleetwood Town,Right,55,67,43,56
L. Owusu,21,Netherlands,De Graafschap,Right,60,67,51,72
J. Phojo,25,France,Clermont Foot 63,Right,67,62,60,34
L. Rougeaux,24,France,KV Kortrijk,Right,64,44,59,52
O. Fisher,26,Jamaica,DC United,Right,55,64,61,47
A. Benchaib,20,Belgium,Sporting Lokeren,Right,55,68,56,60
F. Fydriszewski,25,Argentina,Newell's Old Boys,Right,32,69,31,67
T. Ndenge,21,Germany,FC Luzern,Left,52,66,60,77
F. Flórez,25,Colombia,Alianza Petrolera,Right,54,62,64,47
G. Risso Patrón,22,Argentina,Atlético Tucumán,Left,57,61,54,28
T. Parkes,26,England,Carlisle United,Left,44,51,54,54
J. Untersee,24,Switzerland,Empoli,Right,67,62,62,55
D. Gabriele,23,Germany,FC Wacker Innsbruck,Right,49,65,47,63
M. Mbaye,22,Senegal,Carpi,Right,44,65,72,55
S. Lovric,20,Austria,SK Sturm Graz,Right,41,58,59,64
C. Kerr,22,Scotland,Dundee FC,Right,61,64,48,34
G. Zelalem,21,United States,Arsenal,Right,51,64,71,51
Song Boxuan,28,China PR,Tianjin Quanjian FC,Left,71,64,54,49
Ronan,23,Brazil,Rio Ave FC,Right,34,62,27,66
A. Gruber,23,Austria,SV Mattersburg,Left,68,62,61,65
T. Nowak,32,Poland,Zagłębie Sosnowiec,Left,61,61,69,66
S. Salviato,30,Italy,Padova,Right,59,52,52,71
G. Aguirre,22,Mexico,Club Atlas,Right,51,57,48,39
G. Rojas,21,Argentina,San Lorenzo de Almagro,Left,66,68,51,56
I. Openda,18,Belgium,Club Brugge KV,Right,32,64,33,65
R. Wallace,30,Costa Rica,New York City FC,Left,62,63,56,64
J. Jervis,26,England,AFC Wimbledon,Right,59,65,42,62
S. O'Neill,24,United States,Orlando City SC,Right,46,60,60,62
J. Butez,23,France,Royal Excel Mouscron,Right,14,16,17,20
Raul Asencio,20,Spain,Benevento,Right,39,60,43,60
T. Hołota,27,Poland,Pogoń Szczecin,Right,54,60,62,66
G. Paquiez,24,France,Nîmes Olympique,Left,58,57,59,58
F. Costa,26,Argentina,San Martin de Tucumán,Left,68,68,53,56
N. Aankour,24,Morocco,Arka Gdynia,Right,64,65,58,55
Erik Expósito,22,Spain,Córdoba CF,Left,28,62,35,58
J. Donisa,24,France,Red Star FC,Right,57,66,53,62
Choi Kyu Baek,24,Korea Republic,V-Varen Nagasaki,Right,40,38,59,40
M. Rojas,22,Paraguay,Defensa y Justicia,Left,62,73,58,64
Pedro Silva,21,Portugal,CD Tondela,Right,12,5,15,25
M. Giannikoglou,25,Greece,AEK Athens,Right,11,10,23,24
J. Hanson,22,England,Oxford United,Right,57,43,61,54
V. Demidov,31,Norway,Stabæk Fotball,Right,36,29,65,62
G. Rehak,25,Argentina,Independiente,Right,13,10,22,23
K. Bare,20,Albania,Málaga CF,Right,48,65,67,50
Paulo Otávio,23,Brazil,FC Ingolstadt 04,Left,69,68,54,58
N. Oroz,24,Argentina,CD O'Higgins,Left,64,71,61,65
A. Walongwa,24,Congo,FC Nantes,Right,24,27,48,41
T. Moore,20,England,Plymouth Argyle,Right,65,57,47,30
R. Yamanaka,25,Japan,Yokohama F. Marinos,Left,71,68,54,29
E. Hamilton,19,Scotland,Manchester United,Left,57,61,64,70
R. Salinas,31,Argentina,Vélez Sarsfield,Left,34,62,32,71
S. Zwierschitz,27,Austria,FC Admira Wacker Mödling,Right,59,58,57,58
J. Vickers,22,England,Lincoln City,Right,14,13,32,18
C. Gribbin,19,England,Manchester United,Left,62,69,63,65
A. Stewart,25,England,Wycombe Wanderers,Right,42,38,49,26
S. Tronstad,22,Norway,FK Haugesund,Right,58,69,63,61
A. Castro,31,Mexico,Santos Laguna,Right,63,59,66,69
C. Chaplin,21,England,Coventry City,Left,48,61,51,67
D. O'Dea,31,Republic of Ireland,Dundee FC,Left,42,57,62,35
N. Bandiera,28,Argentina,Curicó Unido,Right,34,68,49,51
A. Figueroa,30,Colombia,Millonarios FC,Right,28,45,21,51
J. Sternberg,25,Germany,1. FC Kaiserslautern,Left,61,60,59,72
M. Blázquez,27,Chile,Deportes Iquique,Right,33,25,56,64
K. Grant,20,England,Charlton Athletic,Right,38,64,31,59
A. Al Zain,26,Saudi Arabia,Al Qadisiyah,Right,62,67,56,62
Hwang Il Soo,30,Korea Republic,Ulsan Hyundai FC,Right,63,68,57,58
T. Fountas,22,Greece,SKN St. Pölten,Right,62,68,58,65
N. Quaschner,24,Germany,DSC Arminia Bielefeld,Right,64,62,54,71
G. Sepúlveda,29,Chile,San Luis de Quillota,Right,46,38,61,48
R. Aponzá,29,Colombia,Jaguares de Córdoba,Right,55,68,59,58
Lei Tenglong,27,China PR,Beijing Sinobo Guoan FC,Right,32,33,35,46
S. Lo Faso,20,Italy,Palermo,Right,59,65,56,65
João Reis,26,Portugal,CD Tondela,Left,69,70,68,30
G. Nijholt,28,Netherlands,NAC Breda,Left,59,65,67,70
S. Conneely,29,Republic of Ireland,Accrington Stanley,Right,54,56,61,58
K. Conboy,30,Denmark,Randers FC,Left,67,59,56,71
C. Nelson,25,England,Oxford United,Right,37,57,55,42
S. Brown,33,England,Port Vale,Right,11,14,25,23
Kwak Hae Seong,26,Korea Republic,Incheon United FC,Right,65,63,48,43
M. Caranta,39,Argentina,Club Atlético Talleres,Right,12,10,22,20
D. Bassi,33,Italy,Spezia,Right,18,18,28,23
J. Kempin,25,United States,Columbus Crew SC,Right,15,14,37,22
Álvaro Traver,25,Spain,Real Sporting de Gijón,Right,62,68,60,67
F. Brustad,29,Norway,Hamilton Academical FC,Right,59,60,45,66
E. O'Connell,22,Republic of Ireland,Bury,Right,27,53,63,54
S. Floranus,19,Netherlands,SC Heerenveen,Right,57,65,61,54
Dani Suárez,28,Spain,Górnik Zabrze,Right,34,40,55,49
S. Olsson,20,Sweden,IF Elfsborg,Right,57,67,69,51
O. Verdon,22,Benin,FC Sochaux-Montbéliard,Right,30,33,38,41
T. Brown,27,Wales,Exeter City,Right,34,30,56,51
S. Ibeagha,26,Nigeria,New York City FC,Right,30,46,55,39
G. Modica,27,Argentina,SV Wehen Wiesbaden,Right,23,44,40,44
A. Pavlović,24,Serbia,SK Rapid Wien,Left,35,63,32,70
M. Sylla,18,France,AS Monaco,Right,50,65,49,60
K. Guédé,33,Slovakia,SV Sandhausen,Right,48,58,53,75
A. Østbø,27,Norway,Rosenborg BK,Right,15,7,12,22
J. Mills,28,England,Forest Green Rovers,Left,69,65,64,50
W. Marinus,23,Netherlands,FC Emmen,Right,52,66,62,59
S. Al Jaman,24,Saudi Arabia,Al Wehda,Right,58,67,58,66
I. Koneh,23,Cameroon,Boavista FC,Right,45,74,40,64
H. Piedra,25,Ecuador,,Right,15,17,18,21
A. Leautey,22,France,Chamois Niortais Football Club,Right,64,64,58,50
T. Børven,26,Norway,Odds BK,Right,56,61,33,68
L. Nielsen,31,Denmark,Trelleborgs FF,Right,27,30,41,35
Bruno Andrade,24,Portugal,Lincoln City,Right,56,66,61,55
V. Jacob,24,France,Chamois Niortais Football Club,Right,52,64,57,61
R. Lacazette,24,France,TSV 1860 München,Right,49,59,61,69
T. Nishino,24,Japan,Gamba Osaka,Right,31,28,32,32
D. Sosa,20,Argentina,Club Atlético Tigre,Left,68,66,66,56
D. Kyereh,22,Ghana,SV Wehen Wiesbaden,Right,47,72,28,64
I. Ouédraogo,29,Burkina Faso,SKN St. Pölten,Right,47,67,29,69
A. Smith-Brown,22,England,Plymouth Argyle,Right,62,60,55,35
D. Atanga,21,Ghana,SpVgg Greuther Fürth,Left,57,63,59,57
R. Ogawa,21,Japan,FC Tokyo,Left,65,53,58,47
Olabe,22,Spain,Extremadura UD,Right,57,68,70,62
A. Skov Olsen,18,Denmark,FC Nordsjælland,Left,54,64,48,63
W. Golla,26,Poland,Śląsk Wrocław,Right,41,41,58,45
A. Çeviker,28,Turkey,Akhisar Belediyespor,Right,54,60,61,60
Chumi,19,Spain,FC Barcelona,Right,38,50,51,47
M. Ahlschwede,28,Germany,FC Würzburger Kickers,Right,56,47,42,46
R. Dadashov,26,Azerbaijan,SC Preußen Münster,Right,35,57,46,68
D. Rodríguez,22,Argentina,Belgrano de Córdoba,Right,65,67,67,68
A. Gerrard,32,Republic of Ireland,Carlisle United,Right,32,36,47,54
O. Franco,25,Paraguay,Rionegro Águilas,Right,23,53,44,65
G. Liddle,32,England,Carlisle United,Right,49,47,63,56
C. Paredes,20,Paraguay,Portland Timbers,Right,51,57,64,68
M. Ogasawara,39,Japan,Kashima Antlers,Right,63,60,68,64
L. O'Nien,23,England,Sunderland,Right,57,59,66,58
Einar Galilea,24,Spain,FC Sochaux-Montbéliard,Left,34,37,42,48
F. Tingager,25,Denmark,Eintracht Braunschweig,Right,40,46,51,45
R. Reid,29,England,Forest Green Rovers,Right,47,62,46,68
V. Supriaga,18,Ukraine,Dynamo Kyiv,Right,28,72,28,58
C. Starfelt,23,Sweden,IFK Göteborg,Right,27,36,38,38
R. Boukari,31,Togo,La Berrichonne de Châteauroux,Right,63,66,52,66
E. Vandenabeele,26,France,Grenoble Foot 38,Right,34,44,45,43
D. Fox,34,England,Plymouth Argyle,Right,69,60,69,66
D. Boldor,23,Romania,Foggia,Left,34,46,55,45
S. Narazaki,42,Japan,Nagoya Grampus,Right,23,30,28,40
N. Brock-Madsen,25,Denmark,Birmingham City,Right,32,60,41,64
K. Boto,22,France,AJ Auxerre,Left,60,61,63,48
J. Bothroyd,36,England,Hokkaido Consadole Sapporo,Left,61,65,51,72
J. Słowik,26,Poland,Śląsk Wrocław,Right,14,14,21,13
L. Norris,25,England,Colchester United,Right,44,57,42,74
D. Schmidt,26,Netherlands,SC Heerenveen,Right,67,63,67,69
A. Longhi,29,Italy,Brescia,Left,65,58,59,71
D. Dziwniel,25,Poland,Zagłębie Lubin,Left,65,65,54,56
G. Fechner,20,Germany,1. FC Kaiserslautern,Right,41,52,67,51
T. Diagouraga,31,France,Swindon Town,Right,54,62,62,59
Yoon Bit Garam,28,Korea Republic,Sangju Sangmu FC,Right,62,67,62,72
J. Maja,19,England,Sunderland,Right,46,61,51,67
O. Cissé,27,Mali,Milton Keynes Dons,Left,44,59,62,67
A. Butler,34,England,Doncaster Rovers,Left,41,35,48,48
O. Marciano,28,Israel,Hibernian,Right,12,19,16,16
H. Kadish,25,Saudi Arabia,Al Hilal,Left,65,56,56,58
J. Allen,23,England,Burton Albion,Right,58,62,69,51
G. Melkadze,21,Russia,Spartak Moscow,Right,52,65,58,65
K. Hashimoto,24,Japan,FC Tokyo,Right,62,65,64,56
Hu Rentian,27,China PR,Hebei China Fortune FC,Right,64,68,54,62
C. Pickel,21,Switzerland,Neuchâtel Xamax,Right,56,60,62,58
S. Chukwueze,19,Nigeria,Villarreal CF,Left,61,73,38,75
D. Andrew,27,England,Doncaster Rovers,Left,68,60,66,66
A. Kofler,31,Austria,Wolfsberger AC,Right,11,11,23,24
T. Walker,21,England,Mansfield Town,Right,47,65,34,66
N. Venema,19,Netherlands,FC Utrecht,Right,38,56,45,72
R. Sufyani,31,Saudi Arabia,Al Taawoun,Left,59,63,60,68
J. Borring,33,Denmark,AC Horsens,Left,64,62,61,67
N. Nyauza,28,South Africa,Orlando Pirates,Right,30,66,64,35
Marcelo Vildeia,34,Brazil,Grêmio,Right,34,72,43,65
V. Janelt,20,Germany,VfL Bochum 1848,Left,50,63,67,66
L. Nieuwpoort,23,Netherlands,De Graafschap,Left,32,58,66,55
Hu Jinghang,21,China PR,Henan Jianye FC,Right,32,59,35,72
Aguado,22,Spain,Córdoba CF,Right,55,65,69,59
A. Raineau,32,France,La Berrichonne de Châteauroux,Left,63,58,62,52
S. Mölders,33,Germany,TSV 1860 München,Left,38,44,38,76
C. Mackail-Smith,34,Scotland,Wycombe Wanderers,Right,58,59,48,64
A. Power,30,Republic of Ireland,Kilmarnock,Right,57,60,67,44
A. Sabbione,26,Italy,Carpi,Right,41,61,66,60
D. Tadić,28,Austria,TSV Hartberg,Right,50,63,45,73
G. Karlen,25,Switzerland,Neuchâtel Xamax,Right,32,54,46,61
K. Jackson,24,England,Ipswich Town,Right,41,63,33,64
G. Zakuani,32,DR Congo,Gillingham,Right,18,34,40,31
J. Mezú,28,Colombia,Jaguares de Córdoba,Right,68,63,67,51
A. Verschueren,21,Belgium,NAC Breda,Right,58,55,64,44
K. Miyahara,22,Japan,Nagoya Grampus,Right,57,49,66,49
Nito Carbelho,26,Brazil,Fluminense,Right,43,66,57,71
N. Manzambi,21,Switzerland,Real Sporting de Gijón,Right,32,68,45,64
A. Ferdinand,33,England,St. Mirren,Right,43,45,57,55
B. Pringle,29,England,Grimsby Town,Left,72,61,62,66
D. Boysen,27,Denmark,IF Elfsborg,Right,59,64,46,63
G. Kusunga,30,Angola,Dundee FC,Right,46,48,59,67
A. Tshibola,23,DR Congo,Kilmarnock,Right,59,65,67,60
C. Jopia,26,Chile,CD Huachipato,Left,59,68,64,55
Francisco Júnior,26,Guinea Bissau,Strømsgodset IF,Right,46,64,59,58
M. Fox,24,Wales,Sheffield Wednesday,Left,64,60,54,59
A. Hanche-Olsen,21,Norway,Stabæk Fotball,Right,52,54,46,40
J. Welsh,34,England,Grimsby Town,Right,53,55,59,61
U. Garcia,22,Switzerland,BSC Young Boys,Left,61,66,46,35
Gao Zhunyi,22,China PR,Hebei China Fortune FC,Right,59,52,62,63
M. Hildebrandt,29,United States,Atlanta United,Right,12,13,32,22
J. O'Shea,29,Republic of Ireland,Bury,Right,63,62,47,61
J. Thomassen,25,Netherlands,De Graafschap,Right,40,64,37,62
B. Shea,28,United States,Vancouver Whitecaps FC,Left,59,68,64,80
J. Gleeson,28,New Zealand,Portland Timbers,Right,12,10,33,22
M. Akça,27,Turkey,Yeni Malatyaspor,Right,54,45,58,55
